condpair	protein	fdr	pval	log2fc	num_peptides
c1_VS_c3	Q8N3V7	0.9998087590367624	0.8844819168563698	-0.20872061863870708	14
c1_VS_c3	Q8IX12	0.9998087590367624	0.22083940671268798	-0.09692903053700459	15
c1_VS_c3	Q96TC7	0.9998087590367624	0.4615431844344424	0.25154026154537057	2
c1_VS_c3	P82979	0.9998087590367624	0.9922606092550001	0.003045794733508231	6
c1_VS_c3	Q9Y6M9	0.9998087590367624	0.6552812404290598	-0.434262825787726	4
c1_VS_c3	Q9UET6	0.9998087590367624	0.9866166172868875	-0.4671223407171296	3
c1_VS_c3	Q9NW13	0.9998087590367624	0.6570452737729597	-0.10298285749240439	9
c1_VS_c3	Q09666	0.9998087590367624	0.2814528141349153	0.14975884252431398	140
c1_VS_c3	P09440	0.0650146713747323	0.004446881862056218	1.4209942435256881	2
c1_VS_c3	Q8WXI9	0.9998087590367624	0.6756262774907753	0.11907578064860624	10
c1_VS_c3	Q92922	0.9998087590367624	0.18264567344918614	-0.16095502839613726	18
c1_VS_c3	Q9UI15	0.9998087590367624	0.5579889605434452	0.23233125280812347	5
c1_VS_c3	Q16891	0.9998087590367624	0.9525829964505097	-0.21238347307198707	18
c1_VS_c3	Q01082	0.9998087590367624	0.21061199888838322	-0.3482538850104276	85
c1_VS_c3	P25491	2.487081400050423e-08	8.346869861952655e-10	1.6390051242337098	5
c1_VS_c3	Q8WWM9	0.9998087590367624	0.20763296933720032	-0.03646889409973634	9
c1_VS_c3	P78371	0.9998087590367624	0.8496829579885496	-0.1427374063545841	23
c1_VS_c3	P28838	0.9998087590367624	0.7649469655760561	0.08943061059245021	15
c1_VS_c3	O95716	0.9998087590367624	0.5732818541951907	0.11491427521114798	2
c1_VS_c3	Q13586	0.9998087590367624	0.5714364974401513	-0.3374094774648461	7
c1_VS_c3	Q99798	0.9998087590367624	0.49176062965298994	-0.22611434012210124	18
c1_VS_c3	P62495	0.9998087590367624	0.5214681744521306	0.13778393893268767	12
c1_VS_c3	Q9BUQ8	0.9998087590367624	0.7942246762245542	0.23386594377004472	18
c1_VS_c3	Q15006	0.9998087590367624	0.9148123257463736	-0.14356091691951237	5
c1_VS_c3	P48729	0.9998087590367624	0.6128224414506804	-0.6897039213939387	8
c1_VS_c3	Q13564	0.9998087590367624	0.15069349827265777	-0.1617636796546127	12
c1_VS_c3	O43852	0.9998087590367624	0.5894002800750064	-0.2127739468021126	11
c1_VS_c3	P02545	0.9998087590367624	0.7838059461248363	-0.15146489175262828	32
c1_VS_c3	P50995	0.9998087590367624	0.6875511893611082	0.12220298677474102	9
c1_VS_c3	P21333	0.9998087590367624	0.9581796523423283	-0.15333400307417477	75
c1_VS_c3	Q16777	0.9998087590367624	0.5330146864536411	-0.778376104458054	1
c1_VS_c3	P07244	1.0924242110557692e-14	0.0	1.569463669249172	10
c1_VS_c3	P61764	0.9998087590367624	0.8772068873786913	0.23534115954043067	11
c1_VS_c3	Q92616	0.9998087590367624	0.5746440253593228	-0.2361170904313402	55
c1_VS_c3	P78347	0.9998087590367624	0.9858644585481722	-0.14754140330695353	31
c1_VS_c3	Q9UBE0	0.9998087590367624	0.3603491383641044	0.14649271839783928	9
c1_VS_c3	P46060	0.9998087590367624	0.9115688576131735	-0.09192030636186017	12
c1_VS_c3	Q7Z7N9	0.9998087590367624	0.8319671783880893	0.08483564991448489	1
c1_VS_c3	P62826	0.9998087590367624	0.9793179507990508	0.010858885346030817	10
c1_VS_c3	P42704	0.9998087590367624	0.7648028021844397	-0.17780163082255532	45
c1_VS_c3	Q16658	0.9998087590367624	0.9640440746252001	-0.047423108551931215	18
c1_VS_c3	P39976	1.0924242110557692e-14	0.0	1.8961977469093085	7
c1_VS_c3	P05023	0.9998087590367624	0.6642865280669905	0.07383604761438682	27
c1_VS_c3	P00560	1.0924242110557692e-14	0.0	1.808580593121338	23
c1_VS_c3	P31116	1.0924242110557692e-14	0.0	1.8050870627032602	6
c1_VS_c3	P36542	0.9998087590367624	0.9670969216943108	0.16382174853762166	7
c1_VS_c3	CON__P06868	0.9998087590367624	0.6037767783755708	-0.4849056541253015	4
c1_VS_c3	P22570	0.9998087590367624	0.796240038136554	-0.2264482424738432	11
c1_VS_c3	Q9BVP2	0.9998087590367624	0.1921157956228461	0.1132542443903753	8
c1_VS_c3	Q13813	0.9998087590367624	0.1683989181782779	-0.050519487421688616	90
c1_VS_c3	P78559	0.9998087590367624	0.7289318768771627	0.009485400399159197	18
c1_VS_c3	Q92973	0.09817912954768082	0.006889485619171021	0.04089633162328058	15
c1_VS_c3	Q96A49	0.9998087590367624	0.8143412645718544	0.1526393978427576	6
c1_VS_c3	P08195	0.9998087590367624	0.48811450263732525	-0.2061918746326533	15
c1_VS_c3	P16278	0.9998087590367624	0.4125123141302367	-0.11714684678359952	10
c1_VS_c3	Q8NDF8	0.9998087590367624	0.7408723510878166	0.1467787815447945	1
c1_VS_c3	Q8IX01	0.9998087590367624	0.4826270453234971	-0.1180056707765269	14
c1_VS_c3	P12277	0.9998087590367624	0.21990010469693066	0.10447842374406131	14
